URL;ID;Resultado:
;1;;;sae_enem_questao_186830 | Use o aplicativo Questões ENEM - SAE Digital para ler este QR Code
;4;link invalido
;1;;;sae_enem_questao_186246 | Use o aplicativo Questões ENEM - SAE Digital para ler este QR Code;5;link invalido
;1;;;https://url.sae.digital/EXT21_3_POR_L1_A_01_OD1;4;objeto digital
;1;;;https://url.sae.digital/EXT24CARTAO;7;vídeo vimeo
;1;;;https://url.sae.digital/EXT21_3_POR_L1_A_01_OD1;10;objeto digital
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01A;10;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V2;15;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V3;15;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V4;15;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V5;15;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V1;15;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V7;16;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01I1;14;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V9;16;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V10;16;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V6;16;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01F;14;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V8;16;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V11;17;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V14;17;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V12;17;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V15;17;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01V13;17;vídeo vimeo
;1;;;https://gabaritossae.s3.amazonaws.com/EXT24_1_POR_A_01_GAB.pdf;18;pdf
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA01C;18;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA02A;19;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA02V6;24;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA02V4;24;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA02V8;24;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA02V13;25;vídeo vimeo
